R_Fighter,R_KD,R_Sub. att,R_Rev.,R_Ctrl,B_Fighter,B_KD,B_Sub. att,B_Rev.,B_Ctrl,Winner,Division,Title_Bout,Event,Method,Round,Time,Date,Location,R_Sig. str._Landed,R_Sig. str._Attempted,R_Total str._Landed,R_Total str._Attempted,R_Td_Landed,R_Td_Attempted,R_Head_Landed,R_Head_Attempted,R_Body_Landed,R_Body_Attempted,R_Leg_Landed,R_Leg_Attempted,R_Distance_Landed,R_Distance_Attempted,R_Clinch_Landed,R_Clinch_Attempted,R_Ground_Landed,R_Ground_Attempted,B_Sig. str._Landed,B_Sig. str._Attempted,B_Total str._Landed,B_Total str._Attempted,B_Td_Landed,B_Td_Attempted,B_Head_Landed,B_Head_Attempted,B_Body_Landed,B_Body_Attempted,B_Leg_Landed,B_Leg_Attempted,B_Distance_Landed,B_Distance_Attempted,B_Clinch_Landed,B_Clinch_Attempted,B_Ground_Landed,B_Ground_Attempted
Matt Hamill,0,0,0,10.13,Seth Petruzelli,1,1,0,0.18,Red,Light Heavyweight,0,Ortiz vs Shamrock 3: The Final Chapter,Decision - Unanimous,3,5:00,2006-10-10,"Hollywood, Florida, USA",14.0,40.0,105.0,148.0,7.0,11.0,11.0,37.0,0.0,0.0,3.0,3.0,8.0,29.0,3.0,5.0,3.0,6.0,25.0,58.0,54.0,88.0,0.0,0.0,11.0,41.0,8.0,10.0,6.0,7.0,21.0,49.0,3.0,6.0,1.0,3.0
Nate Marquardt,0,2,1,3.58,Crafton Wallace,0,0,0,0.75,Red,Middleweight,0,Ortiz vs Shamrock 3: The Final Chapter,Submission,2,1:14,2006-10-10,"Hollywood, Florida, USA",13.0,27.0,31.0,47.0,2.0,3.0,7.0,20.0,2.0,2.0,4.0,5.0,7.0,16.0,0.0,0.0,6.0,11.0,4.0,18.0,27.0,41.0,0.0,0.0,3.0,16.0,0.0,1.0,1.0,1.0,4.0,17.0,0.0,0.0,0.0,1.0
Tony DeSouza,0,1,0,3.65,Dustin Hazelett,0,1,0,0.0,Red,Welterweight,0,Ortiz vs Shamrock 3: The Final Chapter,Submission,1,3:59,2006-10-10,"Hollywood, Florida, USA",5.0,5.0,12.0,12.0,1.0,1.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,1.0,4.0,1.0,4.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0
Rory Singer,0,0,0,1.27,Josh Haynes,1,0,0,2.9,Red,Middleweight,0,Ortiz vs Shamrock 3: The Final Chapter,Decision - Unanimous,3,5:00,2006-10-10,"Hollywood, Florida, USA",50.0,123.0,57.0,130.0,0.0,1.0,44.0,117.0,5.0,5.0,1.0,1.0,38.0,100.0,12.0,22.0,0.0,1.0,23.0,101.0,32.0,113.0,1.0,6.0,15.0,87.0,4.0,9.0,4.0,5.0,12.0,74.0,2.0,7.0,9.0,20.0
Thiago Alves,0,0,0,1.27,John Alessio,0,0,0,4.18,Red,Welterweight,0,Ortiz vs Shamrock 3: The Final Chapter,Decision - Unanimous,3,5:00,2006-10-10,"Hollywood, Florida, USA",63.0,142.0,84.0,164.0,0.0,0.0,27.0,95.0,11.0,13.0,25.0,34.0,41.0,104.0,15.0,23.0,7.0,15.0,13.0,82.0,18.0,87.0,2.0,10.0,12.0,79.0,0.0,2.0,1.0,1.0,10.0,72.0,2.0,9.0,1.0,1.0
Marcus Davis,0,1,0,0.83,Forrest Petz,0,0,0,0.35,Red,Welterweight,0,Ortiz vs Shamrock 3: The Final Chapter,Submission,1,4:58,2006-10-10,"Hollywood, Florida, USA",33.0,50.0,66.0,88.0,0.0,0.0,17.0,33.0,8.0,9.0,8.0,8.0,5.0,11.0,20.0,24.0,8.0,15.0,5.0,18.0,19.0,35.0,0.0,0.0,2.0,14.0,2.0,3.0,1.0,1.0,1.0,9.0,4.0,9.0,0.0,0.0
Matt Hughes,0,0,0,6.98,BJ Penn,0,2,1,1.97,Red,Welterweight,1,UFC 63: Hughes vs Penn,KO/TKO,3,3:53,2006-09-23,"Anaheim, California, USA",35.0,88.0,77.0,133.0,1.0,9.0,28.0,78.0,5.0,8.0,2.0,2.0,20.0,58.0,4.0,7.0,11.0,23.0,17.0,37.0,49.0,70.0,0.0,1.0,10.0,28.0,7.0,9.0,0.0,0.0,8.0,25.0,7.0,10.0,2.0,2.0
Mike Swick,0,0,0,3.48,David Loiseau,0,0,0,2.7,Red,Middleweight,0,UFC 63: Hughes vs Penn,Decision - Unanimous,3,5:00,2006-09-23,"Anaheim, California, USA",32.0,93.0,63.0,125.0,3.0,7.0,12.0,66.0,9.0,13.0,11.0,14.0,17.0,72.0,13.0,18.0,2.0,3.0,36.0,68.0,44.0,76.0,1.0,1.0,21.0,47.0,4.0,8.0,11.0,13.0,12.0,40.0,19.0,22.0,5.0,6.0
Melvin Guillard,2,0,0,1.2,Gabe Ruediger,0,0,0,2.13,Red,Lightweight,0,UFC 63: Hughes vs Penn,KO/TKO,2,1:01,2006-09-23,"Anaheim, California, USA",20.0,40.0,25.0,45.0,3.0,3.0,15.0,34.0,4.0,5.0,1.0,1.0,10.0,21.0,1.0,3.0,9.0,16.0,7.0,23.0,26.0,43.0,2.0,12.0,5.0,20.0,2.0,2.0,0.0,1.0,0.0,13.0,3.0,5.0,4.0,5.0
Rashad Evans,0,0,0,5.38,Jason Lambert,0,3,0,0.52,Red,Light Heavyweight,0,UFC 63: Hughes vs Penn,KO/TKO,2,2:22,2006-09-23,"Anaheim, California, USA",25.0,44.0,42.0,61.0,8.0,8.0,18.0,35.0,7.0,9.0,0.0,0.0,0.0,6.0,5.0,7.0,20.0,31.0,6.0,18.0,13.0,27.0,0.0,2.0,1.0,12.0,5.0,6.0,0.0,0.0,1.0,11.0,5.0,7.0,0.0,0.0
Joe Lauzon,1,0,0,0.0,Jens Pulver,0,0,0,0.52,Red,Lightweight,0,UFC 63: Hughes vs Penn,KO/TKO,1,0:48,2006-09-23,"Anaheim, California, USA",9.0,11.0,9.0,11.0,1.0,1.0,9.0,11.0,0.0,0.0,0.0,0.0,3.0,4.0,1.0,1.0,5.0,6.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Roger Huerta,0,0,1,10.83,Jason Dent,0,3,1,0.25,Red,Lightweight,0,UFC 63: Hughes vs Penn,Decision - Unanimous,3,5:00,2006-09-23,"Anaheim, California, USA",71.0,174.0,122.0,239.0,6.0,9.0,56.0,152.0,13.0,18.0,2.0,4.0,27.0,90.0,9.0,16.0,35.0,68.0,38.0,80.0,85.0,139.0,0.0,0.0,27.0,64.0,7.0,11.0,4.0,5.0,27.0,64.0,7.0,11.0,4.0,5.0
Eddie Sanchez,1,0,0,1.02,Mario Neto,0,0,0,1.98,Red,Heavyweight,0,UFC 63: Hughes vs Penn,KO/TKO,2,0:17,2006-09-23,"Anaheim, California, USA",10.0,34.0,23.0,47.0,0.0,0.0,8.0,32.0,0.0,0.0,2.0,2.0,3.0,25.0,1.0,1.0,6.0,8.0,10.0,20.0,12.0,22.0,1.0,1.0,4.0,13.0,0.0,0.0,6.0,7.0,5.0,13.0,4.0,5.0,1.0,2.0
Jorge Gurgel,0,1,0,2.05,Danny Abbadi,0,0,0,1.83,Red,Lightweight,0,UFC 63: Hughes vs Penn,Decision - Split,3,5:00,2006-09-23,"Anaheim, California, USA",58.0,159.0,101.0,208.0,1.0,7.0,49.0,149.0,6.0,7.0,3.0,3.0,44.0,128.0,12.0,18.0,2.0,13.0,56.0,146.0,79.0,173.0,0.0,0.0,49.0,137.0,7.0,9.0,0.0,0.0,41.0,122.0,12.0,20.0,3.0,4.0
Tyson Griffin,0,1,0,1.58,David Lee,0,0,0,0.0,Red,Lightweight,0,UFC 63: Hughes vs Penn,Submission,1,1:50,2006-09-23,"Anaheim, California, USA",0.0,1.0,7.0,11.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
Chuck Liddell,2,0,0,0.42,Renato Sobral,0,0,0,0.0,Red,Light Heavyweight,1,UFC 62: Liddell vs Sobral,KO/TKO,1,1:35,2006-08-26,"Las Vegas, Nevada, USA",17.0,25.0,17.0,25.0,0.0,0.0,15.0,22.0,2.0,3.0,0.0,0.0,8.0,12.0,0.0,0.0,9.0,13.0,1.0,9.0,1.0,9.0,0.0,0.0,0.0,7.0,0.0,1.0,1.0,1.0,1.0,9.0,0.0,0.0,0.0,0.0
Forrest Griffin,0,0,0,0.28,Stephan Bonnar,0,0,0,0.0,Red,Light Heavyweight,0,UFC 62: Liddell vs Sobral,Decision - Unanimous,3,5:00,2006-08-26,"Las Vegas, Nevada, USA",83.0,207.0,87.0,211.0,0.0,0.0,50.0,157.0,6.0,8.0,27.0,42.0,75.0,193.0,8.0,14.0,0.0,0.0,41.0,159.0,44.0,162.0,0.0,0.0,32.0,141.0,4.0,10.0,5.0,8.0,41.0,158.0,0.0,1.0,0.0,0.0
Nick Diaz,0,1,0,2.02,Josh Neer,0,0,0,1.17,Red,Welterweight,0,UFC 62: Liddell vs Sobral,Submission,3,1:42,2006-08-26,"Las Vegas, Nevada, USA",75.0,199.0,186.0,328.0,3.0,5.0,49.0,164.0,23.0,31.0,3.0,4.0,35.0,133.0,39.0,61.0,1.0,5.0,25.0,62.0,33.0,71.0,0.0,2.0,15.0,52.0,6.0,6.0,4.0,4.0,12.0,36.0,13.0,26.0,0.0,0.0
Cheick Kongo,1,0,0,1.3,Christian Wellisch,0,1,0,0.72,Red,Heavyweight,0,UFC 62: Liddell vs Sobral,KO/TKO,1,2:51,2006-08-26,"Las Vegas, Nevada, USA",17.0,22.0,27.0,32.0,0.0,0.0,12.0,17.0,4.0,4.0,1.0,1.0,3.0,6.0,14.0,16.0,0.0,0.0,0.0,5.0,7.0,12.0,1.0,4.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0
Hermes Franca,0,3,2,1.15,Jamie Varner,0,0,0,7.17,Red,Lightweight,0,UFC 62: Liddell vs Sobral,Submission,3,3:31,2006-08-26,"Las Vegas, Nevada, USA",22.0,46.0,97.0,125.0,1.0,2.0,13.0,37.0,4.0,4.0,5.0,5.0,14.0,28.0,6.0,10.0,2.0,8.0,18.0,106.0,41.0,129.0,9.0,15.0,14.0,101.0,1.0,1.0,3.0,4.0,1.0,37.0,1.0,3.0,16.0,66.0
Eric Schafer,0,2,0,1.48,Rob MacDonald,0,0,0,0.0,Red,Light Heavyweight,0,UFC 62: Liddell vs Sobral,Submission,1,2:26,2006-08-26,"Las Vegas, Nevada, USA",7.0,10.0,21.0,24.0,0.0,0.0,2.0,4.0,1.0,1.0,4.0,5.0,4.0,7.0,1.0,1.0,2.0,2.0,2.0,4.0,6.0,8.0,0.0,1.0,1.0,3.0,0.0,0.0,1.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0
Wilson Gouveia,0,1,0,1.18,Wes Combs,0,0,0,0.0,Red,Light Heavyweight,0,UFC 62: Liddell vs Sobral,Submission,1,3:23,2006-08-26,"Las Vegas, Nevada, USA",9.0,20.0,15.0,26.0,1.0,1.0,5.0,14.0,0.0,0.0,4.0,6.0,8.0,19.0,0.0,0.0,1.0,1.0,10.0,17.0,10.0,17.0,0.0,0.0,0.0,6.0,1.0,1.0,9.0,10.0,10.0,17.0,0.0,0.0,0.0,0.0
David Heath,0,3,0,2.33,Cory Walmsley,0,0,0,0.03,Red,Light Heavyweight,0,UFC 62: Liddell vs Sobral,Submission,1,2:32,2006-08-26,"Las Vegas, Nevada, USA",3.0,6.0,19.0,22.0,1.0,1.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,2.0,2.0,13.0,13.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
Yushin Okami,0,0,0,6.42,Alan Belcher,0,0,1,1.67,Red,Middleweight,0,UFC 62: Liddell vs Sobral,Decision - Unanimous,3,5:00,2006-08-26,"Las Vegas, Nevada, USA",12.0,47.0,59.0,97.0,5.0,9.0,9.0,44.0,0.0,0.0,3.0,3.0,7.0,38.0,0.0,0.0,5.0,9.0,8.0,55.0,18.0,66.0,0.0,1.0,5.0,48.0,0.0,2.0,3.0,5.0,7.0,54.0,1.0,1.0,0.0,0.0
Diego Sanchez,0,1,1,4.92,Karo Parisyan,0,0,0,4.52,Red,Welterweight,0,UFC Fight Night 6,Decision - Unanimous,3,5:00,2006-08-17,"Las Vegas, Nevada, USA",66.0,108.0,118.0,171.0,3.0,3.0,36.0,77.0,30.0,31.0,0.0,0.0,19.0,48.0,15.0,19.0,32.0,41.0,36.0,92.0,78.0,139.0,9.0,10.0,36.0,92.0,0.0,0.0,0.0,0.0,21.0,56.0,6.0,12.0,9.0,24.0
Chris Leben,1,0,0,2.27,Jorge Santiago,0,0,0,1.17,Red,Middleweight,0,UFC Fight Night 6,KO/TKO,2,0:35,2006-08-17,"Las Vegas, Nevada, USA",9.0,22.0,24.0,37.0,1.0,2.0,6.0,16.0,3.0,5.0,0.0,1.0,3.0,9.0,3.0,5.0,3.0,8.0,6.0,12.0,10.0,16.0,1.0,1.0,5.0,10.0,0.0,0.0,1.0,2.0,5.0,10.0,0.0,0.0,1.0,2.0
Dean Lister,0,2,1,5.8,Yuki Sasaki,0,0,0,4.62,Red,Middleweight,0,UFC Fight Night 6,Decision - Unanimous,3,5:00,2006-08-17,"Las Vegas, Nevada, USA",24.0,51.0,57.0,86.0,5.0,17.0,19.0,44.0,2.0,3.0,3.0,4.0,13.0,32.0,3.0,9.0,8.0,10.0,26.0,66.0,32.0,72.0,0.0,0.0,19.0,57.0,2.0,4.0,5.0,5.0,22.0,56.0,4.0,10.0,0.0,0.0
Josh Koscheck,1,1,0,3.62,Jonathan Goulet,0,0,0,0.0,Red,Welterweight,0,UFC Fight Night 6,KO/TKO,1,4:10,2006-08-17,"Las Vegas, Nevada, USA",23.0,30.0,31.0,38.0,1.0,1.0,22.0,29.0,0.0,0.0,1.0,1.0,3.0,6.0,0.0,0.0,20.0,24.0,1.0,2.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
Martin Kampmann,0,1,0,2.5,Crafton Wallace,0,0,0,0.0,Red,Middleweight,0,UFC Fight Night 6,Submission,1,2:59,2006-08-17,"Las Vegas, Nevada, USA",19.0,26.0,28.0,37.0,1.0,1.0,19.0,26.0,0.0,0.0,0.0,0.0,3.0,6.0,1.0,2.0,15.0,18.0,1.0,9.0,1.0,9.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,2.0,1.0,9.0,0.0,0.0,0.0,0.0
Joe Riggs,0,1,0,0.62,Jason Von Flue,0,0,1,0.67,Red,Welterweight,0,UFC Fight Night 6,Submission,1,2:01,2006-08-17,"Las Vegas, Nevada, USA",1.0,4.0,1.0,4.0,1.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,11.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Jake O'Brien,0,0,0,4.73,Kristof Midoux,0,0,0,0.0,Red,Heavyweight,0,UFC Fight Night 6,KO/TKO,2,0:52,2006-08-17,"Las Vegas, Nevada, USA",25.0,52.0,85.0,116.0,3.0,3.0,25.0,52.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,25.0,49.0,2.0,10.0,2.0,11.0,0.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,2.0,0.0,0.0
Forrest Petz,5,0,0,7.42,Sammy Morgan,0,1,0,0.0,Red,Welterweight,0,UFC Fight Night 6,Decision - Unanimous,3,5:00,2006-08-17,"Las Vegas, Nevada, USA",45.0,83.0,102.0,149.0,6.0,6.0,27.0,64.0,17.0,18.0,1.0,1.0,21.0,47.0,10.0,12.0,14.0,24.0,8.0,44.0,58.0,98.0,0.0,7.0,3.0,38.0,4.0,5.0,1.0,1.0,7.0,32.0,1.0,12.0,0.0,0.0
Anthony Torres,0,1,0,1.12,Pat Healy,0,0,0,0.25,Red,Welterweight,0,UFC Fight Night 6,Submission,1,2:37,2006-08-17,"Las Vegas, Nevada, USA",11.0,23.0,35.0,48.0,0.0,0.0,10.0,22.0,1.0,1.0,0.0,0.0,5.0,14.0,3.0,6.0,3.0,3.0,13.0,26.0,20.0,33.0,0.0,1.0,8.0,21.0,3.0,3.0,2.0,2.0,9.0,21.0,4.0,5.0,0.0,0.0
Tim Sylvia,0,0,0,0.75,Andrei Arlovski,0,0,0,0.0,Red,Heavyweight,1,UFC 61: Bitter Rivals,Decision - Unanimous,5,5:00,2006-07-08,"Las Vegas, Nevada, USA",97.0,263.0,99.0,265.0,0.0,0.0,68.0,230.0,7.0,9.0,22.0,24.0,88.0,252.0,9.0,11.0,0.0,0.0,66.0,327.0,68.0,330.0,0.0,1.0,39.0,291.0,8.0,16.0,19.0,20.0,64.0,322.0,2.0,5.0,0.0,0.0
Joshua Burkman,1,0,0,6.75,Josh Neer,0,1,1,3.17,Red,Welterweight,0,UFC 61: Bitter Rivals,Decision - Unanimous,3,5:00,2006-07-08,"Las Vegas, Nevada, USA",35.0,88.0,60.0,113.0,4.0,7.0,22.0,72.0,9.0,12.0,4.0,4.0,14.0,50.0,16.0,28.0,5.0,10.0,19.0,39.0,42.0,64.0,1.0,3.0,17.0,36.0,1.0,2.0,1.0,1.0,7.0,21.0,5.0,9.0,7.0,9.0
Tito Ortiz,0,0,0,1.07,Ken Shamrock,0,0,0,0.07,Red,Light Heavyweight,0,UFC 61: Bitter Rivals,KO/TKO,1,1:18,2006-07-08,"Las Vegas, Nevada, USA",11.0,11.0,22.0,23.0,1.0,3.0,10.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,8.0,8.0,0.0,3.0,3.0,6.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
Frank Mir,0,0,0,7.87,Dan Christison,0,1,0,3.2,Red,Heavyweight,0,UFC 61: Bitter Rivals,Decision - Unanimous,3,5:00,2006-07-08,"Las Vegas, Nevada, USA",53.0,89.0,111.0,152.0,3.0,6.0,19.0,53.0,30.0,32.0,4.0,4.0,7.0,14.0,25.0,26.0,21.0,49.0,48.0,85.0,84.0,123.0,0.0,0.0,26.0,59.0,8.0,12.0,14.0,14.0,22.0,46.0,20.0,33.0,6.0,6.0
Joe Stevenson,0,1,0,5.67,Yves Edwards,1,2,0,0.67,Red,Lightweight,0,UFC 61: Bitter Rivals,TKO - Doctor's Stoppage,2,5:00,2006-07-08,"Las Vegas, Nevada, USA",28.0,57.0,76.0,109.0,3.0,6.0,27.0,55.0,0.0,1.0,1.0,1.0,3.0,16.0,1.0,2.0,24.0,39.0,18.0,52.0,29.0,63.0,0.0,0.0,13.0,46.0,4.0,5.0,1.0,1.0,15.0,45.0,1.0,1.0,2.0,6.0
Hermes Franca,0,1,0,1.37,Joe Jordan,0,0,0,1.12,Red,Catch Weight,0,UFC 61: Bitter Rivals,Submission,3,0:47,2006-07-08,"Las Vegas, Nevada, USA",46.0,113.0,71.0,138.0,3.0,9.0,33.0,99.0,8.0,8.0,5.0,6.0,38.0,100.0,7.0,11.0,1.0,2.0,20.0,78.0,31.0,89.0,0.0,0.0,6.0,62.0,0.0,1.0,14.0,15.0,12.0,67.0,6.0,7.0,2.0,4.0
Jeff Monson,1,0,1,1.07,Anthony Perosh,0,0,0,0.15,Red,Heavyweight,0,UFC 61: Bitter Rivals,KO/TKO,1,2:42,2006-07-08,"Las Vegas, Nevada, USA",18.0,26.0,25.0,33.0,0.0,2.0,14.0,22.0,2.0,2.0,2.0,2.0,1.0,4.0,9.0,13.0,8.0,9.0,8.0,17.0,10.0,19.0,0.0,0.0,3.0,12.0,3.0,3.0,2.0,2.0,4.0,12.0,4.0,5.0,0.0,0.0
Cheick Kongo,0,0,0,0.5,Gilbert Aldana,0,0,0,2.92,Red,Heavyweight,0,UFC 61: Bitter Rivals,TKO - Doctor's Stoppage,1,4:13,2006-07-08,"Las Vegas, Nevada, USA",24.0,28.0,33.0,37.0,1.0,1.0,15.0,19.0,7.0,7.0,2.0,2.0,1.0,2.0,20.0,22.0,3.0,4.0,6.0,8.0,20.0,23.0,2.0,3.0,5.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0
Drew Fickett,0,2,1,0.6,Kurt Pellegrino,0,0,0,7.25,Red,Welterweight,0,UFC 61: Bitter Rivals,Submission,3,1:20,2006-07-08,"Las Vegas, Nevada, USA",18.0,35.0,70.0,92.0,1.0,1.0,11.0,28.0,4.0,4.0,3.0,3.0,9.0,23.0,3.0,4.0,6.0,8.0,25.0,47.0,84.0,114.0,5.0,9.0,13.0,33.0,10.0,11.0,2.0,3.0,5.0,19.0,7.0,11.0,13.0,17.0
Jonathan Goulet,0,0,1,11.55,Luke Cummo,2,3,0,1.92,Red,Welterweight,0,UFC Fight Night 5,Decision - Majority,3,5:00,2006-06-28,"Las Vegas, Nevada, USA",18.0,34.0,65.0,87.0,6.0,9.0,14.0,28.0,3.0,4.0,1.0,2.0,2.0,5.0,0.0,0.0,16.0,29.0,13.0,21.0,30.0,40.0,0.0,0.0,9.0,17.0,3.0,3.0,1.0,1.0,6.0,9.0,4.0,6.0,3.0,6.0
Anderson Silva,2,0,0,0.15,Chris Leben,0,0,0,0.0,Red,Middleweight,0,UFC Fight Night 5,KO/TKO,1,0:49,2006-06-28,"Las Vegas, Nevada, USA",17.0,20.0,17.0,20.0,0.0,0.0,17.0,20.0,0.0,0.0,0.0,0.0,13.0,14.0,1.0,1.0,3.0,5.0,1.0,8.0,1.0,8.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0
Rashad Evans,0,0,0,10.92,Stephan Bonnar,0,2,0,0.07,Red,Light Heavyweight,0,UFC Fight Night 5,Decision - Majority,3,5:00,2006-06-28,"Las Vegas, Nevada, USA",17.0,37.0,48.0,68.0,7.0,12.0,12.0,32.0,5.0,5.0,0.0,0.0,3.0,12.0,1.0,1.0,13.0,24.0,12.0,36.0,52.0,78.0,0.0,0.0,7.0,28.0,4.0,6.0,1.0,2.0,7.0,30.0,3.0,4.0,2.0,2.0
Mark Hominick,0,0,0,0.2,Jorge Gurgel,0,0,0,0.0,Red,Lightweight,0,UFC Fight Night 5,Decision - Unanimous,3,5:00,2006-06-28,"Las Vegas, Nevada, USA",43.0,158.0,43.0,158.0,0.0,0.0,26.0,135.0,14.0,19.0,3.0,4.0,43.0,158.0,0.0,0.0,0.0,0.0,36.0,211.0,36.0,211.0,0.0,5.0,14.0,178.0,1.0,5.0,21.0,28.0,36.0,211.0,0.0,0.0,0.0,0.0
Josh Koscheck,0,1,1,11.3,Dave Menne,0,5,1,0.5,Red,Welterweight,0,UFC Fight Night 5,Decision - Unanimous,3,5:00,2006-06-28,"Las Vegas, Nevada, USA",45.0,68.0,95.0,127.0,4.0,7.0,29.0,50.0,16.0,18.0,0.0,0.0,6.0,18.0,0.0,1.0,39.0,49.0,13.0,34.0,21.0,42.0,1.0,1.0,4.0,20.0,1.0,2.0,8.0,12.0,10.0,29.0,2.0,3.0,1.0,2.0
Jason Lambert,0,1,0,3.15,Branden Lee Hinkle,0,0,0,1.65,Red,Light Heavyweight,0,UFC Fight Night 5,KO/TKO,1,5:00,2006-06-28,"Las Vegas, Nevada, USA",44.0,59.0,80.0,99.0,0.0,0.0,31.0,45.0,9.0,10.0,4.0,4.0,0.0,0.0,8.0,9.0,36.0,50.0,4.0,6.0,5.0,7.0,3.0,5.0,0.0,1.0,3.0,4.0,1.0,1.0,0.0,0.0,4.0,6.0,0.0,0.0
Jon Fitch,1,2,0,8.77,Thiago Alves,0,3,0,0.45,Red,Welterweight,0,UFC Fight Night 5,KO/TKO,2,4:37,2006-06-28,"Las Vegas, Nevada, USA",51.0,72.0,104.0,129.0,3.0,4.0,43.0,63.0,6.0,6.0,2.0,3.0,1.0,3.0,7.0,7.0,43.0,62.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
Rob MacDonald,0,3,0,2.8,Kristian Rothaermel,0,0,0,0.0,Red,Light Heavyweight,0,UFC Fight Night 5,Submission,1,4:01,2006-06-28,"Las Vegas, Nevada, USA",10.0,17.0,14.0,23.0,4.0,4.0,9.0,16.0,0.0,0.0,1.0,1.0,1.0,4.0,0.0,0.0,9.0,13.0,3.0,6.0,16.0,19.0,0.0,3.0,1.0,3.0,0.0,1.0,2.0,2.0,2.0,4.0,1.0,2.0,0.0,0.0
Jorge Santiago,1,0,0,1.17,Justin Levens,0,0,0,0.17,Red,Middleweight,0,UFC Fight Night 5,KO/TKO,1,2:13,2006-06-28,"Las Vegas, Nevada, USA",9.0,15.0,14.0,20.0,1.0,1.0,8.0,14.0,1.0,1.0,0.0,0.0,1.0,2.0,3.0,3.0,5.0,10.0,0.0,6.0,1.0,7.0,0.0,1.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0
Kenny Florian,0,1,0,1.62,Sam Stout,0,0,0,0.0,Red,Lightweight,0,The Ultimate Fighter: Team Ortiz vs. Team Shamrock Finale,Submission,1,1:46,2006-06-24,"Las Vegas, Nevada, USA",5.0,8.0,19.0,22.0,1.0,2.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
Michael Bisping,2,4,0,5.48,Josh Haynes,0,0,1,0.88,Red,Light Heavyweight,1,The Ultimate Fighter: Team Ortiz vs. Team Shamrock Finale,KO/TKO,2,4:14,2006-06-24,"Las Vegas, Nevada, USA",41.0,61.0,52.0,72.0,4.0,5.0,25.0,43.0,13.0,14.0,3.0,4.0,9.0,17.0,19.0,26.0,13.0,18.0,8.0,22.0,16.0,30.0,0.0,1.0,5.0,19.0,3.0,3.0,0.0,0.0,3.0,12.0,5.0,8.0,0.0,2.0
Kendall Grove,0,6,2,3.42,Ed Herman,0,2,1,9.75,Red,Middleweight,1,The Ultimate Fighter: Team Ortiz vs. Team Shamrock Finale,Decision - Unanimous,3,5:00,2006-06-24,"Las Vegas, Nevada, USA",25.0,39.0,46.0,61.0,0.0,0.0,12.0,25.0,10.0,10.0,3.0,4.0,5.0,12.0,11.0,14.0,9.0,13.0,33.0,57.0,68.0,94.0,5.0,10.0,20.0,42.0,13.0,15.0,0.0,0.0,3.0,13.0,2.0,3.0,28.0,41.0
Keith Jardine,0,0,0,0.55,Wilson Gouveia,0,0,0,0.48,Red,Light Heavyweight,0,The Ultimate Fighter: Team Ortiz vs. Team Shamrock Finale,Decision - Unanimous,3,5:00,2006-06-24,"Las Vegas, Nevada, USA",67.0,205.0,71.0,210.0,1.0,1.0,41.0,175.0,4.0,5.0,22.0,25.0,61.0,186.0,1.0,6.0,5.0,13.0,48.0,115.0,51.0,118.0,1.0,2.0,21.0,85.0,1.0,1.0,26.0,29.0,46.0,110.0,0.0,3.0,2.0,2.0
