R_Fighter,R_KD,R_Sig. str.,R_Sig. str. %,R_Total str.,R_Td,R_Td %,R_Sub. att,R_Rev.,R_Ctrl,R_Head,R_Body,R_Leg,R_Distance,R_Clinch,R_Ground,B_Fighter,B_KD,B_Sig. str.,B_Sig. str. %,B_Total str.,B_Td,B_Td %,B_Sub. att,B_Rev.,B_Ctrl,B_Head,B_Body,B_Leg,B_Distance,B_Clinch,B_Ground,Winner,Division,Title_Bout,Event,Method,Round,Time
Joe Lauzon,0,25 of 109,22%,28 of 112,0 of 4,0%,0,0,0:28,24 of 108,1 of 1,0 of 0,23 of 107,2 of 2,0 of 0,Michael Johnson,2,116 of 255,45%,119 of 259,2 of 2,100%,0,0,1:01,81 of 208,23 of 35,12 of 12,103 of 232,11 of 18,2 of 5,Blue,Lightweight,0,UFC Fight Night: Shogun vs Sonnen,Decision - Unanimous,3,5:00
Brad Pickett,0,17 of 78,21%,61 of 124,1 of 1,100%,0,0,2:21,16 of 73,0 of 2,1 of 3,13 of 67,0 of 1,4 of 10,Michael McDonald,2,51 of 87,58%,54 of 90,0 of 1,0%,2,0,0:29,44 of 79,4 of 5,3 of 3,43 of 73,5 of 9,3 of 5,Blue,Bantamweight,0,UFC Fight Night: Shogun vs Sonnen,Submission,2,3:43
Conor McGregor,0,53 of 153,34%,71 of 173,4 of 5,80%,0,0,6:28,34 of 113,4 of 17,15 of 23,42 of 135,2 of 2,9 of 16,Max Holloway,0,23 of 93,24%,32 of 104,0 of 0,---,0,0,0:00,10 of 71,1 of 4,12 of 18,22 of 92,1 of 1,0 of 0,Red,Featherweight,0,UFC Fight Night: Shogun vs Sonnen,Decision - Unanimous,3,5:00
Mike Brown,0,3 of 3,100%,3 of 3,0 of 0,---,0,0,0:00,2 of 2,0 of 0,1 of 1,3 of 3,0 of 0,0 of 0,Steven Siler,1,6 of 16,37%,6 of 17,0 of 0,---,0,0,0:06,5 of 15,0 of 0,1 of 1,2 of 8,0 of 0,4 of 8,Blue,Featherweight,0,UFC Fight Night: Shogun vs Sonnen,KO/TKO,1,0:50
Diego Brandao,0,42 of 86,48%,64 of 108,8 of 10,80%,0,0,4:26,31 of 66,9 of 17,2 of 3,35 of 72,1 of 1,6 of 13,Daniel Pineda,0,61 of 160,38%,88 of 195,0 of 8,0%,0,1,2:48,47 of 141,12 of 17,2 of 2,33 of 117,4 of 4,24 of 39,Red,Featherweight,0,UFC Fight Night: Shogun vs Sonnen,Decision - Unanimous,3,5:00
Manvel Gamburyan,0,23 of 62,37%,84 of 126,5 of 7,71%,0,0,7:51,12 of 45,3 of 7,8 of 10,15 of 47,2 of 4,6 of 11,Cole Miller,0,32 of 112,28%,94 of 175,0 of 0,---,0,0,0:06,28 of 105,4 of 7,0 of 0,22 of 101,8 of 9,2 of 2,Red,Featherweight,0,UFC Fight Night: Shogun vs Sonnen,Decision - Unanimous,3,5:00
Cody Donovan,0,10 of 15,66%,18 of 23,0 of 3,0%,0,0,1:13,2 of 6,8 of 9,0 of 0,1 of 3,9 of 12,0 of 0,Ovince Saint Preux,0,6 of 11,54%,8 of 13,0 of 0,---,0,0,0:10,6 of 11,0 of 0,0 of 0,0 of 3,0 of 1,6 of 7,Blue,Light Heavyweight,0,UFC Fight Night: Shogun vs Sonnen,KO/TKO,1,2:07
Ramsey Nijem,0,0 of 2,0%,0 of 2,1 of 2,50%,0,0,0:22,0 of 0,0 of 0,0 of 2,0 of 2,0 of 0,0 of 0,James Vick,0,0 of 0,---,0 of 0,0 of 0,---,1,0,0:17,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,Blue,Lightweight,0,UFC Fight Night: Shogun vs Sonnen,Submission,1,0:58
Jose Aldo,0,32 of 87,36%,43 of 99,5 of 6,83%,0,0,5:00,24 of 77,7 of 8,1 of 2,28 of 78,0 of 0,4 of 9,Chan Sung Jung,0,17 of 117,14%,42 of 145,0 of 0,---,0,0,0:03,13 of 106,2 of 5,2 of 6,14 of 112,3 of 4,0 of 1,Red,Featherweight,1,UFC 163: Aldo vs Jung,KO/TKO,4,2:00
Lyoto Machida,0,27 of 61,44%,27 of 61,0 of 0,---,0,0,0:22,12 of 31,11 of 20,4 of 10,26 of 58,1 of 3,0 of 0,Phil Davis,0,21 of 90,23%,29 of 98,2 of 10,20%,0,0,1:11,4 of 50,8 of 25,9 of 15,15 of 76,1 of 3,5 of 11,Blue,Light Heavyweight,0,UFC 163: Aldo vs Jung,Decision - Unanimous,3,5:00
Cezar Ferreira,0,3 of 5,60%,3 of 5,0 of 0,---,1,0,0:07,3 of 4,0 of 0,0 of 1,3 of 5,0 of 0,0 of 0,Thiago Santos,0,0 of 1,0%,0 of 1,0 of 1,0%,0,0,0:04,0 of 1,0 of 0,0 of 0,0 of 1,0 of 0,0 of 0,Red,Middleweight,0,UFC 163: Aldo vs Jung,Submission,1,0:47
Thales Leites,0,51 of 91,56%,98 of 141,5 of 9,55%,3,0,10:03,47 of 85,2 of 4,2 of 2,24 of 62,8 of 10,19 of 19,Tom Watson,0,33 of 67,49%,36 of 70,0 of 0,---,0,0,1:14,19 of 48,2 of 5,12 of 14,26 of 54,7 of 13,0 of 0,Red,Middleweight,0,UFC 163: Aldo vs Jung,Decision - Unanimous,3,5:00
John Lineker,0,22 of 58,37%,29 of 65,2 of 2,100%,0,0,0:51,17 of 47,5 of 11,0 of 0,7 of 29,5 of 8,10 of 21,Jose Maria,0,19 of 36,52%,25 of 44,1 of 5,20%,1,0,0:33,9 of 17,3 of 9,7 of 10,13 of 29,4 of 5,2 of 2,Red,Flyweight,0,UFC 163: Aldo vs Jung,KO/TKO,2,1:03
Vinny Magalhaes,0,1 of 1,100%,1 of 1,0 of 0,---,0,0,0:00,1 of 1,0 of 0,0 of 0,1 of 1,0 of 0,0 of 0,Anthony Perosh,1,8 of 13,61%,8 of 13,0 of 0,---,0,0,0:06,8 of 13,0 of 0,0 of 0,1 of 1,0 of 0,7 of 12,Blue,Light Heavyweight,0,UFC 163: Aldo vs Jung,KO/TKO,1,0:14
Amanda Nunes,0,10 of 16,62%,16 of 25,2 of 3,66%,0,0,1:38,9 of 14,1 of 2,0 of 0,1 of 3,0 of 0,9 of 13,Sheila Gaff,0,3 of 8,37%,5 of 10,0 of 0,---,0,0,0:12,1 of 4,2 of 3,0 of 1,1 of 5,2 of 3,0 of 0,Red,Women's Bantamweight,0,UFC 163: Aldo vs Jung,KO/TKO,1,2:08
Sergio Moraes,0,13 of 20,65%,13 of 20,1 of 1,100%,1,0,1:06,12 of 19,0 of 0,1 of 1,4 of 9,0 of 0,9 of 11,Neil Magny,0,7 of 29,24%,9 of 31,0 of 0,---,0,0,0:21,6 of 27,0 of 1,1 of 1,7 of 29,0 of 0,0 of 0,Red,Welterweight,0,UFC 163: Aldo vs Jung,Submission,1,3:13
Ian McCall,0,92 of 226,40%,104 of 241,1 of 5,20%,0,0,1:01,34 of 139,14 of 30,44 of 57,86 of 209,2 of 7,4 of 10,Iliarde Santos,0,43 of 172,25%,46 of 176,1 of 7,14%,0,0,0:38,32 of 158,7 of 10,4 of 4,41 of 165,0 of 5,2 of 2,Red,Flyweight,0,UFC 163: Aldo vs Jung,Decision - Unanimous,3,5:00
Rani Yahya,0,14 of 40,35%,135 of 163,2 of 7,28%,1,1,8:23,13 of 33,1 of 2,0 of 5,4 of 26,0 of 0,10 of 14,Josh Clopton,0,5 of 13,38%,57 of 69,0 of 0,---,0,0,3:19,4 of 12,1 of 1,0 of 0,3 of 9,0 of 0,2 of 4,Red,Featherweight,0,UFC 163: Aldo vs Jung,Decision - Unanimous,3,5:00
Ednaldo Oliveira,0,19 of 71,26%,30 of 84,0 of 1,0%,0,0,3:14,13 of 61,5 of 9,1 of 1,9 of 55,5 of 8,5 of 8,Francimar Barroso,0,31 of 63,49%,69 of 103,2 of 5,40%,0,0,3:40,10 of 40,7 of 8,14 of 15,19 of 49,10 of 12,2 of 2,Blue,Light Heavyweight,0,UFC 163: Aldo vs Jung,Decision - Unanimous,3,5:00
Viscardi Andrade,1,12 of 18,66%,12 of 18,0 of 0,---,0,0,0:18,9 of 15,1 of 1,2 of 2,8 of 11,0 of 0,4 of 7,Bristol Marunde,0,0 of 17,0%,0 of 17,0 of 0,---,0,0,0:00,0 of 17,0 of 0,0 of 0,0 of 17,0 of 0,0 of 0,Red,Welterweight,0,UFC 163: Aldo vs Jung,KO/TKO,1,1:36
Demetrious Johnson,0,67 of 95,70%,112 of 150,12 of 12,100%,3,0,13:36,20 of 39,23 of 28,24 of 28,25 of 42,10 of 15,32 of 38,John Moraga,0,32 of 76,42%,53 of 103,1 of 5,20%,0,0,1:57,13 of 53,11 of 14,8 of 9,16 of 53,10 of 13,6 of 10,Red,Flyweight,1,UFC on FOX: Johnson vs Moraga,Submission,5,3:43
Rory MacDonald,0,46 of 118,38%,48 of 120,0 of 1,0%,0,0,0:00,37 of 102,9 of 16,0 of 0,44 of 115,2 of 3,0 of 0,Jake Ellenberger,0,19 of 97,19%,27 of 106,1 of 3,33%,0,0,1:03,16 of 89,2 of 5,1 of 3,17 of 93,1 of 3,1 of 1,Red,Welterweight,0,UFC on FOX: Johnson vs Moraga,Decision - Unanimous,3,5:00
Robbie Lawler,1,28 of 46,60%,32 of 51,1 of 1,100%,0,0,1:13,22 of 39,5 of 6,1 of 1,21 of 37,6 of 7,1 of 2,Bobby Voelker,0,10 of 42,23%,11 of 44,0 of 0,---,0,0,0:00,6 of 35,2 of 3,2 of 4,9 of 40,1 of 2,0 of 0,Red,Welterweight,0,UFC on FOX: Johnson vs Moraga,KO/TKO,2,0:24
Liz Carmouche,0,50 of 83,60%,114 of 166,3 of 3,100%,1,0,7:52,45 of 78,1 of 1,4 of 4,6 of 9,1 of 2,43 of 72,Jessica Andrade,0,10 of 15,66%,14 of 20,1 of 1,100%,1,0,0:21,3 of 8,4 of 4,3 of 3,4 of 8,5 of 5,1 of 2,Red,Women's Bantamweight,0,UFC on FOX: Johnson vs Moraga,KO/TKO,2,3:57
Michael Chiesa,1,24 of 53,45%,35 of 66,2 of 5,40%,0,0,2:42,18 of 46,5 of 6,1 of 1,23 of 51,1 of 1,0 of 1,Jorge Masvidal,0,24 of 38,63%,66 of 86,0 of 0,---,2,0,3:12,15 of 29,9 of 9,0 of 0,17 of 31,0 of 0,7 of 7,Blue,Lightweight,0,UFC on FOX: Johnson vs Moraga,Submission,2,4:59
Danny Castillo,0,25 of 79,31%,59 of 115,6 of 8,75%,0,0,5:36,17 of 68,5 of 8,3 of 3,24 of 77,0 of 0,1 of 2,Tim Means,0,38 of 93,40%,126 of 184,0 of 0,---,0,1,0:41,19 of 70,15 of 19,4 of 4,32 of 87,4 of 4,2 of 2,Red,Lightweight,0,UFC on FOX: Johnson vs Moraga,Decision - Unanimous,3,5:00
Mac Danzig,0,23 of 56,41%,24 of 57,0 of 1,0%,0,0,0:13,8 of 39,4 of 5,11 of 12,22 of 55,1 of 1,0 of 0,Melvin Guillard,1,39 of 88,44%,43 of 92,0 of 0,---,0,0,0:40,27 of 75,8 of 9,4 of 4,30 of 78,3 of 3,6 of 7,Blue,Lightweight,0,UFC on FOX: Johnson vs Moraga,KO/TKO,2,2:47
Yves Edwards,0,48 of 126,38%,48 of 128,0 of 0,---,0,0,0:00,10 of 79,13 of 19,25 of 28,48 of 125,0 of 1,0 of 0,Daron Cruickshank,0,44 of 142,30%,44 of 142,0 of 1,0%,0,0,0:00,15 of 95,25 of 43,4 of 4,44 of 142,0 of 0,0 of 0,Blue,Lightweight,0,UFC on FOX: Johnson vs Moraga,Decision - Split,3,5:00
Ed Herman,0,73 of 129,56%,127 of 187,2 of 5,40%,1,0,3:18,46 of 99,27 of 30,0 of 0,41 of 94,32 of 35,0 of 0,Trevor Smith,0,87 of 108,80%,112 of 136,1 of 5,20%,1,0,3:20,37 of 56,26 of 27,24 of 25,56 of 74,31 of 34,0 of 0,Red,Middleweight,0,UFC on FOX: Johnson vs Moraga,Decision - Split,3,5:00
Julie Kedzie,0,28 of 76,36%,73 of 127,2 of 9,22%,0,0,4:51,6 of 54,11 of 11,11 of 11,20 of 67,8 of 9,0 of 0,Germaine de Randamie,0,50 of 82,60%,82 of 115,0 of 0,---,0,0,3:51,9 of 40,24 of 24,17 of 18,16 of 45,34 of 37,0 of 0,Blue,Women's Bantamweight,0,UFC on FOX: Johnson vs Moraga,Decision - Split,3,5:00
Aaron Riley,0,26 of 172,15%,26 of 172,0 of 0,---,0,0,0:00,10 of 123,8 of 34,8 of 15,23 of 169,3 of 3,0 of 0,Justin Salas,0,54 of 140,38%,58 of 144,3 of 9,33%,0,0,0:30,38 of 115,7 of 12,9 of 13,44 of 127,8 of 11,2 of 2,Blue,Lightweight,0,UFC on FOX: Johnson vs Moraga,Decision - Split,3,5:00
John Albert,0,4 of 12,33%,9 of 17,0 of 0,---,3,0,1:22,0 of 8,1 of 1,3 of 3,3 of 10,0 of 1,1 of 1,Yaotzin Meza,0,4 of 7,57%,29 of 33,1 of 2,50%,4,0,5:41,2 of 4,0 of 0,2 of 3,3 of 6,0 of 0,1 of 1,Blue,Bantamweight,0,UFC on FOX: Johnson vs Moraga,Submission,2,2:49
Anderson Silva,0,14 of 24,58%,20 of 32,0 of 0,---,0,0,0:00,4 of 12,1 of 2,9 of 10,14 of 24,0 of 0,0 of 0,Chris Weidman,1,16 of 43,37%,26 of 55,1 of 3,33%,2,0,1:55,16 of 42,0 of 1,0 of 0,8 of 25,0 of 0,8 of 18,Blue,Middleweight,1,UFC 162: Silva vs Weidman,KO/TKO,2,1:18
Frankie Edgar,0,81 of 146,55%,114 of 182,2 of 5,40%,0,0,5:03,53 of 112,23 of 29,5 of 5,61 of 122,4 of 5,16 of 19,Charles Oliveira,0,38 of 125,30%,59 of 146,0 of 4,0%,1,0,0:01,27 of 101,7 of 17,4 of 7,31 of 117,5 of 6,2 of 2,Red,Featherweight,0,UFC 162: Silva vs Weidman,Decision - Unanimous,3,5:00
Tim Kennedy,0,54 of 92,58%,101 of 145,2 of 4,50%,0,1,6:11,21 of 49,10 of 13,23 of 30,25 of 55,18 of 20,11 of 17,Roger Gracie,0,12 of 29,41%,14 of 31,2 of 4,50%,0,0,3:26,8 of 22,3 of 5,1 of 2,5 of 22,6 of 6,1 of 1,Red,Middleweight,0,UFC 162: Silva vs Weidman,Decision - Unanimous,3,5:00
Mark Munoz,0,69 of 102,67%,132 of 171,5 of 10,50%,2,0,9:26,36 of 64,31 of 35,2 of 3,5 of 15,12 of 23,52 of 64,Tim Boetsch,0,23 of 41,56%,50 of 69,1 of 3,33%,3,1,2:59,9 of 20,9 of 16,5 of 5,11 of 22,10 of 16,2 of 3,Red,Middleweight,0,UFC 162: Silva vs Weidman,Decision - Unanimous,3,5:00
Cub Swanson,1,43 of 101,42%,47 of 105,1 of 1,100%,0,0,1:03,32 of 81,6 of 9,5 of 11,29 of 79,0 of 0,14 of 22,Dennis Siver,0,26 of 144,18%,54 of 174,1 of 4,25%,0,1,3:14,10 of 111,6 of 10,10 of 23,24 of 140,0 of 0,2 of 4,Red,Featherweight,0,UFC 162: Silva vs Weidman,KO/TKO,3,2:24
Chris Leben,0,30 of 66,45%,127 of 172,0 of 7,0%,0,0,5:01,17 of 45,7 of 10,6 of 11,24 of 58,6 of 8,0 of 0,Andrew Craig,0,64 of 101,63%,120 of 160,2 of 3,66%,0,0,3:25,50 of 87,9 of 9,5 of 5,46 of 78,12 of 14,6 of 9,Blue,Middleweight,0,UFC 162: Silva vs Weidman,Decision - Split,3,5:00
Norman Parke,0,68 of 128,53%,77 of 137,2 of 13,15%,0,1,4:43,50 of 105,9 of 11,9 of 12,60 of 120,6 of 6,2 of 2,Kazuki Tokudome,0,43 of 128,33%,59 of 149,1 of 5,20%,0,0,2:38,26 of 110,4 of 5,13 of 13,40 of 122,3 of 6,0 of 0,Red,Lightweight,0,UFC 162: Silva vs Weidman,Decision - Unanimous,3,5:00
Gabriel Gonzaga,1,3 of 3,100%,5 of 5,0 of 0,---,0,0,0:03,3 of 3,0 of 0,0 of 0,1 of 1,0 of 0,2 of 2,Dave Herman,0,3 of 3,100%,3 of 3,0 of 0,---,0,0,0:00,0 of 0,2 of 2,1 of 1,3 of 3,0 of 0,0 of 0,Red,Heavyweight,0,UFC 162: Silva vs Weidman,KO/TKO,1,0:17
Edson Barboza,1,49 of 89,55%,49 of 89,0 of 0,---,0,0,0:13,9 of 40,17 of 21,23 of 28,49 of 89,0 of 0,0 of 0,Rafaello Oliveira,0,19 of 42,45%,19 of 42,0 of 5,0%,0,0,0:02,13 of 33,6 of 9,0 of 0,19 of 42,0 of 0,0 of 0,Red,Lightweight,0,UFC 162: Silva vs Weidman,KO/TKO,2,1:44
Seth Baczynski,0,13 of 54,24%,14 of 55,0 of 1,0%,0,0,0:16,8 of 47,1 of 3,4 of 4,11 of 52,2 of 2,0 of 0,Brian Melancon,1,24 of 42,57%,30 of 48,1 of 1,100%,0,0,1:40,17 of 34,3 of 4,4 of 4,14 of 28,0 of 0,10 of 14,Blue,Welterweight,0,UFC 162: Silva vs Weidman,KO/TKO,1,4:59
Mike Pierce,1,17 of 41,41%,25 of 49,0 of 4,0%,0,0,4:40,11 of 34,4 of 5,2 of 2,4 of 17,9 of 16,4 of 8,David Mitchell,0,17 of 44,38%,81 of 110,0 of 0,---,0,0,0:17,0 of 25,17 of 19,0 of 0,0 of 18,17 of 26,0 of 0,Red,Welterweight,0,UFC 162: Silva vs Weidman,KO/TKO,2,2:55
Rashad Evans,0,39 of 87,44%,66 of 116,0 of 8,0%,0,0,3:42,32 of 77,5 of 8,2 of 2,32 of 70,7 of 17,0 of 0,Dan Henderson,0,40 of 91,43%,53 of 104,0 of 0,---,0,0,0:01,24 of 74,13 of 14,3 of 3,19 of 67,20 of 23,1 of 1,Red,Light Heavyweight,0,UFC 161: Evans vs Henderson,Decision - Split,3,5:00
Roy Nelson,0,23 of 127,18%,25 of 130,0 of 1,0%,0,0,0:21,19 of 120,1 of 4,3 of 3,22 of 123,1 of 4,0 of 0,Stipe Miocic,0,106 of 172,61%,129 of 197,1 of 8,12%,0,0,2:05,90 of 156,3 of 3,13 of 13,81 of 141,24 of 30,1 of 1,Blue,Heavyweight,0,UFC 161: Evans vs Henderson,Decision - Unanimous,3,5:00
Ryan Jimmo,1,65 of 83,78%,124 of 150,1 of 2,50%,0,0,10:44,26 of 44,15 of 15,24 of 24,22 of 36,29 of 29,14 of 18,Igor Pokrajac,0,12 of 40,30%,37 of 65,0 of 4,0%,1,0,0:58,8 of 36,3 of 3,1 of 1,7 of 35,5 of 5,0 of 0,Red,Light Heavyweight,0,UFC 161: Evans vs Henderson,Decision - Unanimous,3,5:00
Alexis Davis,0,44 of 73,60%,161 of 223,0 of 3,0%,3,2,6:45,33 of 61,8 of 9,3 of 3,23 of 47,11 of 13,10 of 13,Rosi Sexton,0,34 of 61,55%,115 of 158,1 of 2,50%,0,1,6:03,31 of 58,2 of 2,1 of 1,24 of 50,0 of 1,10 of 10,Red,Women's Bantamweight,0,UFC 161: Evans vs Henderson,Decision - Unanimous,3,5:00
Pat Barry,0,2 of 3,66%,2 of 3,0 of 0,---,0,0,0:00,1 of 2,0 of 0,1 of 1,2 of 3,0 of 0,0 of 0,Shawn Jordan,1,10 of 15,66%,16 of 22,0 of 0,---,0,0,0:05,10 of 15,0 of 0,0 of 0,6 of 11,0 of 0,4 of 4,Blue,Heavyweight,0,UFC 161: Evans vs Henderson,KO/TKO,1,0:59
Jake Shields,0,82 of 211,38%,132 of 267,0 of 18,0%,0,0,4:06,6 of 92,49 of 80,27 of 39,33 of 131,49 of 80,0 of 0,Tyron Woodley,0,60 of 94,63%,97 of 131,0 of 0,---,0,0,2:05,11 of 42,41 of 43,8 of 9,22 of 53,38 of 41,0 of 0,Red,Welterweight,0,UFC 161: Evans vs Henderson,Decision - Split,3,5:00
Sam Stout,0,73 of 226,32%,81 of 234,2 of 2,100%,0,0,1:20,24 of 155,18 of 32,31 of 39,66 of 213,2 of 3,5 of 10,James Krause,0,96 of 188,51%,110 of 204,1 of 2,50%,1,1,2:02,68 of 153,13 of 17,15 of 18,91 of 178,4 of 5,1 of 5,Blue,Lightweight,0,UFC 161: Evans vs Henderson,Submission,3,4:47
Sean Pierson,0,36 of 92,39%,58 of 119,0 of 1,0%,0,1,1:31,32 of 87,2 of 3,2 of 2,29 of 80,3 of 3,4 of 9,Kenny Robertson,0,65 of 119,54%,139 of 218,1 of 6,16%,0,0,6:41,47 of 98,10 of 13,8 of 8,49 of 87,6 of 10,10 of 22,Red,Welterweight,0,UFC 161: Evans vs Henderson,Decision - Majority,3,5:00
Roland Delorme,0,22 of 45,48%,65 of 100,6 of 11,54%,2,0,9:24,22 of 44,0 of 1,0 of 0,4 of 18,1 of 1,17 of 26,Edwin Figueroa,0,42 of 89,47%,60 of 109,0 of 0,---,2,2,3:34,42 of 89,0 of 0,0 of 0,13 of 31,0 of 3,29 of 55,Red,Bantamweight,0,UFC 161: Evans vs Henderson,Decision - Unanimous,3,5:00
Mitch Clarke,0,41 of 105,39%,118 of 188,0 of 1,0%,0,1,2:27,16 of 58,5 of 12,20 of 35,26 of 80,11 of 15,4 of 10,John Maguire,0,15 of 41,36%,66 of 95,3 of 7,42%,0,0,6:51,11 of 37,4 of 4,0 of 0,8 of 30,4 of 6,3 of 5,Red,Lightweight,0,UFC 161: Evans vs Henderson,Decision - Unanimous,3,5:00
Yves Jabouin,0,20 of 29,68%,54 of 74,1 of 1,100%,0,3,8:06,15 of 23,3 of 4,2 of 2,6 of 13,2 of 2,12 of 14,Dustin Pague,0,15 of 18,83%,51 of 63,1 of 2,50%,7,1,4:46,11 of 13,3 of 3,1 of 2,5 of 7,3 of 3,7 of 8,Red,Bantamweight,0,UFC 161: Evans vs Henderson,Decision - Split,3,5:00
Antonio Rodrigo Nogueira,0,14 of 40,35%,46 of 74,0 of 1,0%,0,0,2:03,12 of 37,1 of 2,1 of 1,6 of 30,8 of 10,0 of 0,Fabricio Werdum,0,32 of 37,86%,54 of 60,1 of 2,50%,1,0,2:50,18 of 23,2 of 2,12 of 12,20 of 25,6 of 6,6 of 6,Blue,Heavyweight,0,UFC on FUEL TV: Nogueira vs. Werdum,Submission,2,2:41
William Macario,0,35 of 57,61%,45 of 67,2 of 4,50%,0,0,4:03,22 of 44,7 of 7,6 of 6,14 of 28,10 of 11,11 of 18,Leonardo Santos,0,22 of 46,47%,34 of 63,1 of 7,14%,1,0,1:22,16 of 39,4 of 5,2 of 2,17 of 39,2 of 2,3 of 5,Blue,Brazil 2 Welterweight,1,UFC on FUEL TV: Nogueira vs. Werdum,Submission,2,4:43
Thiago Silva,1,37 of 75,49%,37 of 75,0 of 0,---,0,0,0:03,23 of 57,4 of 8,10 of 10,35 of 73,0 of 0,2 of 2,Rafael Cavalcante,0,24 of 61,39%,24 of 61,0 of 0,---,0,0,0:00,20 of 54,3 of 6,1 of 1,23 of 60,1 of 1,0 of 0,Red,Light Heavyweight,0,UFC on FUEL TV: Nogueira vs. Werdum,KO/TKO,1,4:29
Erick Silva,0,0 of 1,0%,0 of 1,0 of 0,---,1,0,0:18,0 of 1,0 of 0,0 of 0,0 of 1,0 of 0,0 of 0,Jason High,0,0 of 6,0%,0 of 6,0 of 1,0%,0,0,0:13,0 of 4,0 of 1,0 of 1,0 of 6,0 of 0,0 of 0,Red,Welterweight,0,UFC on FUEL TV: Nogueira vs. Werdum,Submission,1,1:11
Daniel Sarafian,0,8 of 9,88%,19 of 20,1 of 1,100%,1,0,1:06,5 of 6,3 of 3,0 of 0,8 of 9,0 of 0,0 of 0,Eddie Mendez,0,4 of 12,33%,5 of 13,0 of 0,---,0,0,0:22,3 of 10,0 of 1,1 of 1,4 of 12,0 of 0,0 of 0,Red,Middleweight,0,UFC on FUEL TV: Nogueira vs. Werdum,Submission,1,2:20
Rony Jason,0,7 of 8,87%,12 of 13,0 of 0,---,1,0,0:00,7 of 8,0 of 0,0 of 0,2 of 3,0 of 0,5 of 5,Mike Wilkinson,0,4 of 4,100%,11 of 12,1 of 1,100%,0,0,0:44,3 of 3,1 of 1,0 of 0,1 of 1,0 of 0,3 of 3,Red,Featherweight,0,UFC on FUEL TV: Nogueira vs. Werdum,Submission,1,1:24
Raphael Assuncao,0,17 of 54,31%,27 of 65,3 of 5,60%,1,0,2:54,10 of 40,5 of 7,2 of 7,6 of 36,0 of 3,11 of 15,Vaughan Lee,0,14 of 27,51%,28 of 41,0 of 1,0%,0,0,0:02,3 of 15,4 of 5,7 of 7,10 of 22,4 of 5,0 of 0,Red,Bantamweight,0,UFC on FUEL TV: Nogueira vs. Werdum,Submission,2,1:51
Godofredo Pepey,0,4 of 13,30%,24 of 33,1 of 2,50%,0,1,1:01,4 of 13,0 of 0,0 of 0,1 of 3,0 of 0,3 of 10,Felipe Arantes,0,27 of 35,77%,35 of 45,0 of 0,---,0,2,2:11,26 of 34,1 of 1,0 of 0,1 of 1,0 of 0,26 of 34,Blue,Featherweight,0,UFC on FUEL TV: Nogueira vs. Werdum,KO/TKO,1,3:32
Ildemar Alcantara,0,33 of 105,31%,56 of 134,3 of 3,100%,0,0,3:03,17 of 89,14 of 14,2 of 2,30 of 99,2 of 3,1 of 3,Leandro Silva,0,50 of 87,57%,63 of 100,0 of 6,0%,0,0,1:18,19 of 46,6 of 13,25 of 28,49 of 86,1 of 1,0 of 0,Red,Welterweight,0,UFC on FUEL TV: Nogueira vs. Werdum,Decision - Unanimous,3,5:00
Rodrigo Damm,0,76 of 162,46%,77 of 163,2 of 7,28%,0,0,1:44,51 of 128,12 of 17,13 of 17,75 of 161,1 of 1,0 of 0,Mizuto Hirota,0,102 of 199,51%,113 of 212,0 of 1,0%,0,0,0:00,60 of 153,32 of 35,10 of 11,100 of 197,2 of 2,0 of 0,Red,Featherweight,0,UFC on FUEL TV: Nogueira vs. Werdum,Decision - Split,3,5:00
Caio Magalhaes,0,21 of 37,56%,58 of 84,1 of 2,50%,5,0,2:29,14 of 27,5 of 6,2 of 4,1 of 4,6 of 9,14 of 24,Karlos Vemola,0,30 of 52,57%,62 of 99,2 of 6,33%,0,0,4:54,28 of 50,2 of 2,0 of 0,0 of 3,1 of 1,29 of 48,Red,Middleweight,0,UFC on FUEL TV: Nogueira vs. Werdum,Submission,2,2:49
Antonio Braga Neto,0,6 of 15,40%,6 of 15,1 of 3,33%,1,0,0:27,5 of 13,0 of 1,1 of 1,4 of 13,2 of 2,0 of 0,Anthony Smith,0,5 of 19,26%,5 of 19,0 of 0,---,0,1,0:04,2 of 14,2 of 4,1 of 1,3 of 17,2 of 2,0 of 0,Red,Middleweight,0,UFC on FUEL TV: Nogueira vs. Werdum,Submission,1,1:52
Cain Velasquez,1,18 of 28,64%,18 of 28,0 of 2,0%,0,0,0:11,16 of 26,1 of 1,1 of 1,6 of 15,1 of 1,11 of 12,Antonio Silva,0,1 of 3,33%,2 of 4,0 of 0,---,0,0,0:00,1 of 3,0 of 0,0 of 0,1 of 3,0 of 0,0 of 0,Red,Heavyweight,1,UFC 160: Velasquez vs Silva 2,KO/TKO,1,1:21
Junior Dos Santos,2,74 of 131,56%,80 of 137,1 of 1,100%,0,0,1:27,54 of 106,14 of 18,6 of 7,65 of 117,3 of 7,6 of 7,Mark Hunt,0,29 of 99,29%,34 of 105,0 of 0,---,0,0,0:00,20 of 83,3 of 4,6 of 12,29 of 99,0 of 0,0 of 0,Red,Heavyweight,0,UFC 160: Velasquez vs Silva 2,KO/TKO,3,4:18
